ticker,quarter,date,prev_quarter,is_shift_event,max_z_score,sentiment_overall,lm_uncertainty,fls_hedging_count,return_1d,return_3d,return_7d,sentiment_overall_delta,sentiment_overall_zscore,lm_uncertainty_delta,lm_uncertainty_zscore,fls_hedging_count_delta,fls_hedging_count_zscore
COST,2022-Q4,2022-09-22,2022-Q3,True,1.9021,0.1004916879127403,0.0066847949240879,0,-0.0426340380231443,-0.018207405885473,-0.0193773165530901,-0.018191,-0.384,-0.002529,-1.3145,-4,-1.9021
COST,2023-Q1,2022-12-08,2022-Q4,False,0.5456,0.1149582945480942,0.0074626865671641,0,0.0033234920244392,0.014083455357627,-0.047339076742368,0.014467,0.4098,0.000778,0.5456,0,0.1119
CVX,2021-Q1,2021-04-30,2020-Q4,False,0.9969,0.143325471227952,0.0060081711127132,2,0.0238671836365981,0.0571456569010882,0.0352187968735685,0.024822,0.2431,-0.002329,-0.9969,0,0.0535
CVX,2021-Q2,2021-07-30,2021-Q1,False,0.9688,0.2194523026078265,0.0076443608138304,2,-0.0017678214379095,-0.0148315213566249,0.0026519600746403,0.076127,0.9688,0.001636,0.6032,0,0.0535
CVX,2021-Q3,2021-10-29,2021-Q2,False,0.6949,0.2254624343772847,0.0080967612954818,0,0.000349403745867,-0.0129268187132906,0.0131891114977908,0.00601,-0.0229,0.000452,0.1255,-2,-0.6949
CVX,2021-Q4,2022-01-28,2021-Q3,False,0.8908,0.1701157267148397,0.0092250922509225,2,0.005512574229925,0.0367506103959777,0.0446364904187776,-0.055347,-0.8908,0.001128,0.3983,2,0.8018
CVX,2022-Q1,2022-04-29,2021-Q4,False,1.1759,0.153857449648305,0.0101569713758079,5,0.0196592983042461,0.069700753420576,0.0262334426870006,-0.016258,-0.3379,0.000932,0.319,3,1.1759
CVX,2022-Q2,2022-07-29,2022-Q1,True,1.8174,0.2640412501300926,0.0061226644146521,0,-0.0199657824937716,-0.0514102513183159,-0.0511047766258361,0.110184,1.4505,-0.004034,-1.6849,-5,-1.8174
CVX,2022-Q3,2022-10-28,2022-Q2,False,1.4108,0.1719322129453967,0.0093267966040894,1,0.0051118158337115,-0.0082229814854719,0.0297814453102446,-0.092109,-1.4108,0.003204,1.2359,1,0.4276
JNJ,2020-Q4,2021-01-26,2019-Q2,False,0.9831,0.2868126554295011,0.0082443004963405,1,-0.0152509669728496,-0.0431134959685524,-0.0498008389592723,-0.029153,-0.4739,0.001568,0.6378,-2,-0.9831
JNJ,2021-Q1,2021-04-20,2020-Q4,False,1.0068,0.3330006968737314,0.0104557111856381,2,0.0006609370677509,-0.0057663645516504,-0.0136951817772198,0.046188,1.0068,0.002211,1.0006,1,0.4139
JNJ,2021-Q2,2021-07-21,2021-Q1,True,1.6618,0.3690884027782821,0.0079475982532751,2,0.0028909196336911,0.0140421689552383,0.0159892304769424,0.036088,0.8083,-0.002508,-1.6618,0,-0.0517
JNJ,2021-Q3,2021-10-19,2021-Q2,True,1.651,0.2800408674748959,0.009116324298043,1,-0.0005490560325293,-0.0009151640102298,-0.0062243652910145,-0.089048,-1.651,0.001169,0.4124,-1,-0.5174
JNJ,2021-Q4,2022-01-25,2021-Q3,False,1.0716,0.3295250616253607,0.0100575947734892,2,0.0044743214955709,0.0248167481953635,0.0306032519980583,0.049484,1.0716,0.000941,0.2841,1,0.4139
JNJ,2022-Q1,2022-04-19,2021-Q4,False,1.4434,0.2807065721156562,0.0079365079365079,4,0.0044241355661617,-0.0084116233851872,0.0020755042111469,-0.048818,-0.8604,-0.002121,-1.4434,2,0.8796
JNJ,2022-Q2,2022-07-19,2022-Q1,False,0.7782,0.3152632283244804,0.0071866163996229,5,-0.0057076082501279,0.0025046157623884,0.0146191015455824,0.034557,0.7782,-0.00075,-0.6699,1,0.4139
JNJ,2022-Q3,2022-10-18,2022-Q2,True,1.9145,0.3221079605555268,0.0090274434280211,1,-0.0079512557174738,0.0162641914846252,0.0379494065645438,0.006845,0.2336,0.001841,0.7916,-4,-1.9145
JNJ,2022-Q4,2023-01-24,2022-Q3,False,1.3453,0.2706008705906896,0.0106150142263077,4,0.0071295321143456,-0.0004752622029561,-0.0164578508323678,-0.051507,-0.9132,0.001588,0.6487,3,1.3453
JPM,2021-Q1,2021-04-14,2020-Q4,False,0.9779,0.1470204006044942,0.0102452654455138,6,0.0063488097713526,0.0095230429035588,-0.0067456747896134,0.027499,0.9779,0.001153,0.1628,0,0.0709
JPM,2021-Q2,2021-07-13,2021-Q1,False,0.6864,0.1040851855437913,0.0103980226710986,6,-0.0034051145067632,-0.0240282433831805,-0.0303240775814883,-0.042935,-0.6864,0.000153,-0.3395,0,0.0709
JPM,2021-Q3,2021-10-13,2021-Q2,False,1.2228,0.1224292977480648,0.0087918907736863,2,0.0153415429247753,0.0344717601504628,0.0669565574132899,0.018344,0.7616,-0.001606,-1.2228,-4,-0.9217
JPM,2021-Q4,2022-01-14,2021-Q3,True,1.808,0.1431480077211314,0.0111200428724544,9,-0.0419280935345113,-0.0647921354754248,-0.0631453616697075,0.020719,0.8177,0.002328,0.7529,7,1.808
JPM,2022-Q1,2022-04-13,2021-Q4,True,1.7158,0.0566497011081196,0.0143377885783718,4,-0.0092692830479375,0.0300078705776744,-0.0041633552057756,-0.086498,-1.7158,0.003218,1.1997,-5,-1.1699
JPM,2022-Q2,2022-07-14,2022-Q1,False,1.3263,0.0576345864989997,0.0125255623721881,2,0.0458330873233824,0.060740515522182,0.0668515576730233,0.000985,0.3514,-0.001812,-1.3263,-2,-0.4254
JPM,2022-Q3,2022-10-14,2022-Q2,False,0.7733,0.0223193552641367,0.0148942093541202,4,0.0420002407865215,0.0478459527202089,0.1035164230878766,-0.035315,-0.5064,0.002369,0.7733,2,0.5672
META,2020-Q1,2020-04-29,2019-Q2,False,1.3096,0.1660220230290993,0.0089845382365231,4,0.0541737920775409,0.0570061379504888,0.0935168303828311,-0.060612,-1.3096,0.000893,0.7648,-2,-0.3925
META,2020-Q4,2021-01-27,2020-Q1,True,1.701,0.1722903481297532,0.006183654539833,10,-0.026236631374894,-0.0372233472034343,-0.0148451935562291,0.006268,0.3765,-0.002801,-1.701,6,0.9004
META,2021-Q1,2021-04-28,2020-Q4,True,1.73,0.2322412247672939,0.0047628908676744,4,0.072972755613364,0.0504070277932264,0.0390100893376956,0.059951,1.73,-0.001421,-0.7797,-6,-1.039
