ticker,quarter,date,day0_price,return_1d,return_3d,return_7d
CVX,2022-Q3,2022-10-28,155.92465209960938,0.005111815833711562,-0.008222981485471995,0.029781445310244632
JNJ,2022-Q3,2022-10-18,149.76966857910156,-0.007951255717473883,0.016264191484625285,0.03794940656454384
UNH,2021-Q3,2021-10-14,388.6109313964844,0.018341522300568014,0.00956329286242497,0.0692978476603156
BAC,2021-Q4,2022-01-19,41.71328353881836,-0.014857949606612304,-0.04069744845099908,-0.012273926561838271
BAC,2022-Q2,2022-07-18,29.28592872619629,0.03378794980754854,0.04308751818143511,0.04122764358375816
AAPL,2023-Q1,2023-02-02,148.4396209716797,0.024399836392140366,0.025394373990749928,0.02164771699910949
COST,2021-Q4,2021-09-23,430.3930358886719,0.03306233181468581,-0.011992524490504548,-0.02791637793030038
JPM,2021-Q1,2021-04-14,133.2618408203125,0.00634880977135262,0.009523042903558824,-0.006745674789613449
AMZN,2022-Q2,2022-07-28,122.27999877929688,0.10361464095050726,0.09715411352149844,0.140088363214089
AMZN,2021-Q4,2022-02-03,138.8455047607422,0.13535901735711856,0.16254032280664427,0.11755153840718141
COST,2022-Q2,2022-03-03,508.283203125,-0.01416373428860172,-0.018178582544641313,-0.013319624886163211
